8.51,17.88,35517
11.98,17.98,8384
8.35,18.01,21458
7.6,17.79,21603
8.04,20.26,14746
10.02,17.99,16055
8.13,18.29,29813
8.04,18.24,22299
8.14,19.17,14669
9.35,18,14591
8.29,16.76,24421
8.04,17.43,11431
14.03,14.03,1488
8.45,19.06,11796
8.01,18.53,15942
8.32,12.14,10258
8.31,17.96,4737
7.15,16.8,7308
8.03,18.6,8112
8.47,18.27,6653
8.43,17.97,6817
8.33,17.53,6035
9.81,12.94,3790
8.28,18.16,3903
8.64,18.2,4573
7.88,17.96,8577
8.51,19.76,5876
8.5,17.63,2547
8.24,17.84,1806
8.23,17.94,2617
8.32,18.07,3555
8.65,17.17,1843
8.03,17.15,5577
8.2,17.77,2618
9.18,13.95,586
8.54,17.85,1615
8.86,18.36,8156
8.51,13.42,1045
8.13,17.23,3107
7.35,17.85,1704
8.04,19.01,1811
8.4,17.98,1777
8.39,18.06,1727
8.23,17.87,2095
8.48,18.09,772
8.1,17.97,952
8.55,18.2,2335
8.75,18.48,2490
8.46,17.26,1787
8.44,17.87,1779
7.76,17.77,1293
8.4,16.25,802
8.66,17.73,1811
9.13,15.42,970
7.65,19.54,3883
8.51,18.1,922
7.85,17.51,791
8.16,17.41,854
8.08,20.34,3425
8.49,18.11,2114
9.5,8.62,37
8.33,16.19,1984
9.55,13.74,261
9.35,16.32,259
7.75,17.61,2610
7.96,17.85,3247
9.39,19.57,716
8.31,16.29,653
8.59,17,747
8.32,17.91,644
8.73,17.27,585
8.22,17.54,872
8.47,12.17,223
7.28,18.68,2130
8.35,16.43,701
9.92,10.66,132
10.14,14.08,268
8.02,18.23,1296
8.44,18.34,1452
9.85,20.15,789
11.65,13.16,123
9.75,9.57,81
8.48,18.23,1747
8.41,17.59,537
8.09,17.39,333
8.44,17.6,416
8.19,17.4,584
8.17,17.28,528
8.29,17.84,1028
8.29,17.11,262
8.38,17.87,497
8.23,17.51,522
8.15,17.75,455
8.15,17.54,562
8.11,17.36,1362
8.06,14.5,200
10.15,10.56,98
8.3,17.9,736
8.6,17.16,152
9.18,17.68,116
8.67,17.14,1167
9.78,14.45,924
9.97,14.06,237
9.54,14.36,71
11.92,18.35,140
10.92,14.16,81
8.45,8.39,85
9.16,16.69,158
8.52,17.64,205
7.99,16.86,188
8.14,17.6,167
8.53,17.61,289
8.15,16.28,282
8.85,17.18,168
8.71,17.25,166
8.34,17.6,228
8.25,17.27,272
8.1,15.66,224
8.36,17.42,257
8.29,17.81,505
8.92,18.18,399
8.51,17.21,152
10.2,9.87,71
8.68,17.01,173
8.4,16.43,114
9.46,8.81,59
11.43,12.25,16
10.38,12.31,17
8.27,17.04,136
11.03,11.95,6
12.33,9.68,159
8.41,18.05,515
8.17,17.71,346
8.14,16.92,163
8.11,17.86,284
8.34,17.19,91
8.61,17.42,136
9.08,17.79,89
8.37,17.22,98
8.62,11.18,69
8.53,17.64,86
8.22,17.52,116